1, 30.20, 5, 50, 80.20
2, 34.65, 5, 50, 84.65
3, 57.31, 18, 180, 237.31
4, 600.00, 50, 500, 1100.00
5, 610.00, 60, 600, 1210.00
6, 620.00, 70, 700, 1320.00
7, 630.00, 80, 800, 1430.00
8, 640.00, 90, 900, 1540.00
9, 650.00, 100, 1000, 1650.00
10, 660.00, 110, 1100, 1760.00
11, 0.00, 0, 0, 0.00
12, 0.00, 0, 0, 0.00
13, 0.00, 0, 0, 0.00
14, 0.00, 0, 0, 0.00
15, 0.00, 0, 0, 0.00
16, 0.00, 0, 0, 0.00
17, 0.00, 0, 0, 0.00
18, 0.00, 0, 0, 0.00
19, 0.00, 0, 0, 0.00
20, 0.00, 0, 0, 0.00
21, 0.00, 0, 0, 0.00
22, 0.00, 0, 0, 0.00
23, 0.00, 0, 0, 0.00
24, 0.00, 0, 0, 0.00
25, 0.00, 0, 0, 0.00
26, 0.00, 0, 0, 0.00
27, 0.00, 0, 0, 0.00
28, 0.00, 0, 0, 0.00
29, 0.00, 0, 0, 0.00
30, 0.00, 0, 0, 0.00
31, 0.00, 0, 0, 0.00
32, 0.00, 0, 0, 0.00
33, 0.00, 0, 0, 0.00
34, 0.00, 0, 0, 0.00
35, 0.00, 0, 0, 0.00
36, 0.00, 0, 0, 0.00
37, 0.00, 0, 0, 0.00
38, 0.00, 0, 0, 0.00
39, 0.00, 0, 0, 0.00
40, 0.00, 0, 0, 0.00
41, 0.00, 0, 0, 0.00
42, 0.00, 0, 0, 0.00
43, 0.00, 0, 0, 0.00
44, 0.00, 0, 0, 0.00
45, 0.00, 0, 0, 0.00
46, 0.00, 0, 0, 0.00
47, 0.00, 0, 0, 0.00
48, 0.00, 0, 0, 0.00
49, 0.00, 0, 0, 0.00
50, 0.00, 0, 0, 0.00
51, 0.00, 0, 0, 0.00
52, 0.00, 0, 0, 0.00
53, 0.00, 0, 0, 0.00
54, 0.00, 0, 0, 0.00
55, 0.00, 0, 0, 0.00
56, 0.00, 0, 0, 0.00
57, 0.00, 0, 0, 0.00
58, 0.00, 0, 0, 0.00
59, 0.00, 0, 0, 0.00
60, 0.00, 0, 0, 0.00
61, 0.00, 0, 0, 0.00
62, 0.00, 0, 0, 0.00
63, 0.00, 0, 0, 0.00
64, 0.00, 0, 0, 0.00
65, 0.00, 0, 0, 0.00
66, 0.00, 0, 0, 0.00
67, 0.00, 0, 0, 0.00
68, 0.00, 0, 0, 0.00
69, 0.00, 0, 0, 0.00
70, 0.00, 0, 0, 0.00
71, 0.00, 0, 0, 0.00
72, 0.00, 0, 0, 0.00
73, 0.00, 0, 0, 0.00
74, 0.00, 0, 0, 0.00
75, 0.00, 0, 0, 0.00
76, 0.00, 0, 0, 0.00
77, 0.00, 0, 0, 0.00
78, 0.00, 0, 0, 0.00
79, 0.00, 0, 0, 0.00
80, 0.00, 0, 0, 0.00
81, 0.00, 0, 0, 0.00
82, 0.00, 0, 0, 0.00
83, 0.00, 0, 0, 0.00
84, 0.00, 0, 0, 0.00
85, 0.00, 0, 0, 0.00
86, 0.00, 0, 0, 0.00
87, 0.00, 0, 0, 0.00
88, 0.00, 0, 0, 0.00
89, 0.00, 0, 0, 0.00
90, 0.00, 0, 0, 0.00
91, 0.00, 0, 0, 0.00
92, 0.00, 0, 0, 0.00
93, 0.00, 0, 0, 0.00
94, 0.00, 0, 0, 0.00
95, 0.00, 0, 0, 0.00
96, 0.00, 0, 0, 0.00
97, 0.00, 0, 0, 0.00
98, 0.00, 0, 0, 0.00
99, 0.00, 0, 0, 0.00
100, 0.00, 0, 0, 0.00
